"","x","y","CD","id","r"
"1",-47.12586,-113.6432,21.07,"ww1",123.026922203962
"2",-21.97588,-113.5862,20.79,"ww1",115.692541385408
"3",3.174135,-113.5291,21.3,"ww1",113.573463801225
"4",28.32412,-113.472,20.85,"ww1",116.953625671778
"5",53.47416,-113.415,20.11,"ww1",125.389186187269
"6",-97.49921,-81.45745,20.74,"ww1",127.048857181506
"7",-72.34921,-81.40037,20.54,"ww1",108.905594088463
"8",-47.19918,-81.34329,20.95,"ww1",94.0451669183297
"9",-22.0492,-81.28623,20.42,"ww1",84.2236214387205
"10",3.100826,-81.22913,20.66,"ww1",81.2882936371479
"11",28.25084,-81.17205,20.97,"ww1",85.9477263335575
"12",53.40086,-81.11497,20.65,"ww1",97.1148300046934
"13",78.55088,-81.05788,20.28,"ww1",112.874357844768
"14",103.7009,-81.00079,20.17,"ww1",131.58649110541
"15",-122.7225,-49.21452,20.26,"ww1",132.222845927171
"16",-97.57252,-49.15741,20.75,"ww1",109.255881384292
"17",-72.42249,-49.10034,20.95,"ww1",87.4977739483451
"18",-47.27249,-49.04327,19.99,"ww1",68.1170363645762
"19",-22.12248,-48.98621,20.62,"ww1",53.7499106186652
"20",3.027533,-48.92909,20.32,"ww1",49.0226662299613
"21",28.17754,-48.87204,20.1,"ww1",56.4132081538818
"22",53.32751,-48.81492,20.34,"ww1",72.2960561677226
"23",78.47756,-48.75787,21.12,"ww1",92.3907858527597
"24",103.6276,-48.70076,20.54,"ww1",114.500845002723
"25",-122.7958,-16.91448,20.76,"ww1",123.955266654186
"26",-97.64574,-16.8574,20.92,"ww1",99.0901734528081
"27",-72.49577,-16.80033,20.62,"ww1",74.4169856686079
"28",-47.34576,-16.7433,20.55,"ww1",50.2191107534532
"29",-22.19573,-16.68618,21.09,"ww1",27.7683098734025
"30",2.954264,-16.62913,21.52,"ww1",16.8895127324206
"31",28.10427,-16.57205,21.01,"ww1",32.6264131254939
"32",53.25428,-16.51496,20.07,"ww1",55.7562753608955
"33",78.40429,-16.45788,20.41,"ww1",80.1130108315653
"34",103.5543,-16.40078,20.8,"ww1",104.845021975764
"35",128.7043,-16.34366,20.4,"ww1",129.737859010721
"36",-122.869,15.38554,21.03,"ww1",123.828534684424
"37",-97.71903,15.44259,21.09,"ww1",98.931705787624
"38",-72.56901,15.49966,20.37,"ww1",74.2057994532483
"39",-47.41904,15.55672,20.92,"ww1",49.9056799540894
"40",-22.26902,15.6138,21.08,"ww1",27.1974263892818
"41",2.881018,15.67087,21.66,"ww1",15.9335002831526
"42",28.03103,15.72794,21.48,"ww1",32.1419778405826
"43",53.18101,15.78504,20.79,"ww1",55.4742040269322
"44",78.33102,15.84213,20.53,"ww1",79.9169680179203
"45",103.481,15.89922,21.04,"ww1",104.695284314091
"46",128.631,15.9563,20.61,"ww1",129.616888061279
"47",-122.9424,47.68547,21.28,"ww1",131.866363288296
"48",-97.79234,47.74257,20.23,"ww1",108.824146001154
"49",-72.64233,47.79964,20.87,"ww1",86.958114583738
"50",-47.49231,47.85668,20.63,"ww1",67.4224097000285
"51",-22.34233,47.91378,20.66,"ww1",52.8669085886181
"52",2.807684,47.97083,20.83,"ww1",48.0529252005823
"53",27.95771,48.02794,20.48,"ww1",55.5726242774957
"54",53.10772,48.08501,20.39,"ww1",71.6421531662645
"55",78.25773,48.14211,21.11,"ww1",91.8800035916684
"56",103.4077,48.19918,21.74,"ww1",114.089058949412
"57",-97.8656,80.04258,20.47,"ww1",126.429783976785
"58",-72.71557,80.09961,20.49,"ww1",108.182723401553
"59",-47.56559,80.15672,20.6,"ww1",93.2072159932186
"60",-22.41558,80.21376,20.61,"ww1",83.2868868434521
"61",2.734433,80.27084,20.6,"ww1",80.3174008427631
"62",27.88443,80.32795,20.32,"ww1",85.0301181207424
"63",53.03444,80.38503,21.04,"ww1",96.3037116325975
"64",78.18444,80.4421,20.92,"ww1",112.177262003151
"65",103.3344,80.49911,20.76,"ww1",130.988949664283
"66",-47.63891,112.4567,21.22,"ww1",122.130975271952
"67",-22.4889,112.5138,21.03,"ww1",114.739294984979
"68",2.661116,112.5708,20.82,"ww1",112.602249315924
"69",27.81109,112.6279,20.8,"ww1",116.010777884635
"70",52.96112,112.685,20.8,"ww1",124.510198203418
"71",-47.13216,-113.6007,23.12,"ww3",122.990079058254
"72",-21.98217,-113.5457,22.84,"ww3",115.653974364908
"73",3.167822,-113.4907,22.87,"ww3",113.534902486917
"74",28.31782,-113.4356,22.47,"ww3",116.916783555281
"75",53.46785,-113.3806,23.04,"ww3",125.355380578508
"76",-97.50289,-81.41088,22.62,"ww3",127.021828599365
"77",-72.35289,-81.35582,22.58,"ww3",108.874745185578
"78",-47.20289,-81.30079,21.91,"ww3",94.0102721992453
"79",-22.05289,-81.24576,22.57,"ww3",84.1855300828456
"80",3.097125,-81.1907,22.58,"ww3",81.2497504596514
"81",28.24715,-81.13564,21.94,"ww3",85.912126974788
"82",53.39717,-81.0806,22.63,"ww3",97.0840947857521
"83",78.5472,-81.02553,22.21,"ww3",112.848567290954
"84",103.6972,-80.97047,22.42,"ww3",131.564912875207
"85",-122.7236,-49.16593,22.54,"ww3",132.205789093084
"86",-97.57363,-49.11088,22.75,"ww3",109.235945575398
"87",-72.42358,-49.05584,22.01,"ww3",87.4737124976527
"88",-47.27359,-49.00079,21.58,"ww3",68.0872215038343
"89",-22.12358,-48.94576,21.87,"ww3",53.7135012263584
"90",3.026428,-48.89068,22.94,"ww3",48.9842613224042
"91",28.17645,-48.83566,22.79,"ww3",56.3811495292363
"92",53.32642,-48.78057,22.63,"ww3",72.2720629257343
"93",78.47647,-48.72553,22.1,"ww3",92.3727969558235
"94",103.6265,-48.67044,23.16,"ww3",114.486956602242
"95",-122.7943,-16.86591,22.5,"ww3",123.947162261256
"96",-97.64426,-16.81087,22.49,"ww3",99.0808097519621
"97",-72.49426,-16.75583,22.22,"ww3",74.4054807923213
"98",-47.34426,-16.70084,21.95,"ww3",50.2035557670291
"99",-22.19423,-16.64576,22.42,"ww3",27.7428400000883
"100",2.955752,-16.59073,23.72,"ww3",16.8519670014632
"101",28.10578,-16.53567,22.41,"ww3",32.6092510149697
"102",53.25578,-16.4806,22.05,"ww3",55.7475405714763
"103",78.40578,-16.42554,22.19,"ww3",80.1078317126359
